date,cash,equity,deployed_margin,n_open,realized_pnl_cum,opened,reject_reason
2024-10-31,83690.99999999999,74394.99999999999,2000.0,1,-25599.800000000014,True,
2024-11-01,92477.79999999999,74389.79999999999,4000.0,2,-25599.800000000014,True,
2024-11-04,101928.59999999999,74384.59999999999,6000.0,3,-25599.800000000014,True,
2024-11-05,101928.59999999999,74384.59999999999,6000.0,3,-25599.800000000014,False,
2024-11-06,101928.59999999999,74384.59999999999,6000.0,3,-25599.800000000014,False,
2024-11-07,103239.9,76076.9,6000.0,3,-23906.20000000001,True,
2024-11-08,104898.2,76937.2,6000.0,3,-23044.600000000013,True,
2024-11-11,104235.8,77666.8,6000.0,3,-22315.00000000001,True,
2024-11-12,104235.8,77666.8,6000.0,3,-22315.00000000001,False,
2024-11-13,113999.3,77660.3,8000.0,4,-22315.00000000001,True,
2024-11-14,114006.3,76922.3,8000.0,4,-23053.00000000001,True,
2024-11-15,99124.8,71630.8,6000.0,3,-28351.00000000001,False,
2024-11-18,87995.6,68565.6,4000.0,2,-31421.40000000001,False,
2024-11-19,87995.6,68565.6,4000.0,2,-31421.40000000001,False,
2024-11-20,75219.1,65559.1,2000.0,1,-34434.40000000001,False,
2024-11-21,65647.6,65647.6,0.0,0,-34352.40000000001,False,
2024-11-22,75101.8,65639.8,2000.0,1,-34352.40000000001,True,
2024-11-25,84370.0,65632.0,4000.0,2,-34352.40000000001,True,
2024-11-26,84370.0,65632.0,4000.0,2,-34352.40000000001,False,
2024-11-27,84370.0,65632.0,4000.0,2,-34352.40000000001,False,
2024-11-29,84370.0,65632.0,4000.0,2,-34352.40000000001,False,
2024-12-02,75632.2,66356.2,2000.0,1,-33636.00000000001,False,
2024-12-03,67152.4,67152.4,0.0,0,-32847.600000000006,False,
2024-12-04,67152.4,67152.4,0.0,0,-32847.600000000006,False,
2024-12-05,67152.4,67152.4,0.0,0,-32847.600000000006,False,
2024-12-06,67152.4,67152.4,0.0,0,-32847.600000000006,False,
2024-12-09,67152.4,67152.4,0.0,0,-32847.600000000006,False,
2024-12-10,67152.4,67152.4,0.0,0,-32847.600000000006,False,
2024-12-11,67152.4,67152.4,0.0,0,-32847.600000000006,False,
2024-12-12,67152.4,67152.4,0.0,0,-32847.600000000006,False,
2024-12-13,67152.4,67152.4,0.0,0,-32847.600000000006,False,
2024-12-16,67152.4,67152.4,0.0,0,-32847.600000000006,False,
2024-12-17,75635.9,67145.9,2000.0,1,-32847.600000000006,True,
2024-12-18,83102.0,67142.0,4000.0,2,-32847.600000000006,True,
2024-12-19,92692.8,67136.8,6000.0,3,-32847.600000000006,True,
2024-12-20,92692.8,67136.8,6000.0,3,-32847.600000000006,False,
2024-12-23,92692.8,67136.8,6000.0,3,-32847.600000000006,False,
2024-12-24,94843.5,69017.5,6000.0,3,-30965.600000000006,True,
2024-12-26,87861.6,69505.6,4000.0,2,-30481.400000000005,False,
2024-12-27,79948.40000000001,71188.40000000001,2000.0,1,-28803.800000000003,False,
2024-12-30,79948.40000000001,71188.40000000001,2000.0,1,-28803.800000000003,False,
2024-12-31,89706.90000000001,71181.90000000001,4000.0,2,-28803.800000000003,True,
2025-01-02,77201.1,67436.1,2000.0,1,-32557.400000000005,False,
2025-01-03,77201.1,67436.1,2000.0,1,-32557.400000000005,False,
2025-01-06,86609.6,67429.6,4000.0,2,-32557.400000000005,True,
2025-01-07,86609.6,67429.6,4000.0,2,-32557.400000000005,False,
2025-01-08,77818.1,68403.1,2000.0,1,-31590.400000000005,False,
2025-01-10,77818.1,68403.1,2000.0,1,-31590.400000000005,False,
2025-01-13,77818.1,68403.1,2000.0,1,-31590.400000000005,False,
2025-01-14,63481.600000000006,63481.600000000006,0.0,0,-36518.40000000001,False,
2025-01-15,63481.600000000006,63481.600000000006,0.0,0,-36518.40000000001,False,
2025-01-16,63481.600000000006,63481.600000000006,0.0,0,-36518.40000000001,False,
2025-01-17,63481.600000000006,63481.600000000006,0.0,0,-36518.40000000001,False,
2025-01-21,72085.1,63475.100000000006,2000.0,1,-36518.40000000001,True,
2025-01-22,72085.1,63475.100000000006,2000.0,1,-36518.40000000001,False,
2025-01-23,81935.3,63467.3,4000.0,2,-36518.40000000001,True,
2025-01-24,90158.8,63460.8,6000.0,3,-36518.40000000001,True,
2025-01-27,90158.8,63460.8,6000.0,3,-36518.40000000001,False,
2025-01-28,81682.3,63594.3,4000.0,2,-36391.40000000001,False,
2025-01-29,81682.3,63594.3,4000.0,2,-36391.40000000001,False,
2025-01-30,70496.5,62266.5,2000.0,1,-37727.00000000001,False,
2025-01-31,59865.0,59865.0,0.0,0,-40135.00000000001,False,
2025-02-03,59865.0,59865.0,0.0,0,-40135.00000000001,False,
2025-02-04,68913.5,59858.5,2000.0,1,-40135.00000000001,True,
2025-02-05,77487.0,59852.0,4000.0,2,-40135.00000000001,True,
2025-02-06,85890.5,59845.5,6000.0,3,-40135.00000000001,True,
2025-02-07,85890.5,59845.5,6000.0,3,-40135.00000000001,False,
2025-02-10,85890.5,59845.5,6000.0,3,-40135.00000000001,False,
2025-02-11,78299.0,61309.0,4000.0,2,-38678.00000000001,False,
2025-02-12,70187.5,61777.5,2000.0,1,-38216.00000000001,False,
2025-02-13,63356.0,63356.0,0.0,0,-36644.00000000001,False,
2025-02-14,63356.0,63356.0,0.0,0,-36644.00000000001,False,
2025-02-18,71734.5,63349.5,2000.0,1,-36644.00000000001,True,
2025-02-19,71734.5,63349.5,2000.0,1,-36644.00000000001,False,
2025-02-20,71734.5,63349.5,2000.0,1,-36644.00000000001,False,
2025-02-21,71734.5,63349.5,2000.0,1,-36644.00000000001,False,
2025-02-24,71734.5,63349.5,2000.0,1,-36644.00000000001,False,
2025-02-25,57893.0,57893.0,0.0,0,-42107.00000000001,False,
2025-02-26,57893.0,57893.0,0.0,0,-42107.00000000001,False,
2025-02-27,57893.0,57893.0,0.0,0,-42107.00000000001,False,
2025-02-28,57893.0,57893.0,0.0,0,-42107.00000000001,False,
2025-03-03,57893.0,57893.0,0.0,0,-42107.00000000001,False,
2025-03-04,65437.1,57889.1,2000.0,1,-42107.00000000001,True,
2025-03-05,65437.1,57889.1,2000.0,1,-42107.00000000001,False,
