strategy,n_trades,terminal_equity,total_return_pct,annualized_return,sharpe_non_overlap,sortino,max_dd_dollar,max_dd_pct,calmar,win_rate,profit_factor,mean_trade_dollar,best_trade_dollar,worst_trade_dollar,sum_net_pnl,capital_efficiency,n_wide_spread_trades,n_margin_rejects,n_concurrency_rejects,n_missing_quote,n_dropped_month,peak_margin_util_pct,config,dropped_month
lgbm,189,93445.5999999989,-6.554400000001104,-0.036875834096653515,-0.5624313202089595,-0.6809605313013362,-14610.800000000512,-14.610800000000513,-0.2523875085324022,0.5925925925925926,0.8081781253292442,-34.67936507936508,1265.4,-1566.6000000000006,-6554.4,-0.03467936507936508,0,0,0.0,0,0,1.0,k1_1K_allmonths,
buy_hold_spy,1,131825.26903531255,31.82526903531255,0.16549153680347062,0.9746105071454751,1.2629442964171738,-21215.615647187486,-18.755246925491083,0.8823746094141995,1.0,inf,31825.26903531256,31825.26903531256,31825.26903531256,31825.26903531256,0.0007025445703159505,0,0,,0,0,100.0,k1_1K_allmonths,
always_short,15,-39945.00000000003,-139.94500000000002,,-6.548100952585182,-7.286955947906581,-139894.30000000002,-139.96526238803077,,0.2,0.0487386755413444,-9329.666666666668,4500.599999999999,-25482.8,-139945.00000000003,-0.18659333333333336,0,433,0.0,5,0,50.0,k1_50K_allmonths,
vrp_rule,32,8943.599999999875,-91.05640000000012,-0.737652504335399,-2.2495460442332984,-3.2724020945016474,-102909.10000000012,-102.90910000000014,-0.7168000734001153,0.4375,0.4291220696365695,-2845.512500000001,18981.0,-21656.600000000002,-91056.40000000004,-0.05691025000000002,0,113,0.0,0,0,50.0,k1_50K_allmonths,
logreg,81,79255.59999999998,-20.74440000000002,-0.12090164132785997,-0.2199755529183695,-0.2857432483126867,-140761.79999999993,-89.58455978050918,-0.13495812406075405,0.5308641975308642,0.9227518633928945,-256.10370370370356,18981.0,-29537.400000000005,-20744.399999999987,-0.0051220740740740706,0,13,0.0,0,0,50.0,k1_50K_allmonths,
lgbm,24,-44903.99999999995,-144.90399999999994,,-3.1671647757087786,-4.07830770077492,-144903.99999999994,-144.90399999999994,,0.375,0.2951543564484543,-6037.666666666667,18981.0,-40731.60000000001,-144904.0,-0.12075333333333334,0,165,0.0,0,0,50.0,k1_50K_allmonths,
buy_hold_spy,1,131825.26903531255,31.82526903531255,0.16549153680347062,0.9746105071454751,1.2629442964171738,-21215.615647187486,-18.755246925491083,0.8823746094141995,1.0,inf,31825.26903531256,31825.26903531256,31825.26903531256,31825.26903531256,0.0007025445703159505,0,0,,0,0,100.0,k1_50K_allmonths,
always_short,44,1075.0000000000691,-98.92499999999993,-0.9189206269667822,-4.678346156548119,-5.195607062847819,-98915.89999999992,-98.92490216609704,-0.9289072891109811,0.2727272727272727,0.12648543833344814,-2248.2954545454545,3796.2,-12638.399999999998,-98925.0,-0.22482954545454545,0,384,0.0,5,20,10.0,k1_10K_drop_best,2024-09
vrp_rule,124,116711.00000000023,16.711000000000233,0.08942323437252897,0.7252993664475519,0.9455156149240752,-17465.59999999999,-17.46559999999999,0.5119963492380967,0.6048387096774194,1.2974397858419302,134.766129032258,3796.2,-4191.600000000001,16710.999999999993,0.0134766129032258,0,0,0.0,0,21,10.0,k1_10K_drop_best,2025-07
logreg,83,87756.60000000036,-12.24339999999965,-0.0698288026731988,-0.7079671031957002,-0.9744101388781589,-28523.09999999983,-25.67439725281387,-0.27197835254163827,0.4819277108433735,0.7720198570678424,-147.510843373494,3796.2,-4928.000000000001,-12243.400000000001,-0.0147510843373494,0,0,0.0,0,11,10.0,k1_10K_drop_best,2026-03
lgbm,169,45317.600000000384,-54.68239999999962,-0.35510899188482703,-1.2441515956926958,-1.3641989394683092,-71542.19999999988,-71.54219999999988,-0.49636297441905286,0.5502958579881657,0.6107559885993811,-323.5644970414201,3796.2,-7833.000000000004,-54682.399999999994,-0.03235644970414201,0,0,0.0,0,20,10.0,k1_10K_drop_best,2025-07
always_short,135,-19968.19999999997,-119.96819999999997,,-2.309726335960671,-2.2927101955326177,-119959.09999999996,-119.97001727157168,,0.5185185185185185,0.35325442383414773,-888.6533333333334,2889.6,-12638.399999999998,-119968.20000000001,-0.08886533333333334,2,291,0.0,5,22,10.0,k1_10K_drop_worst,2024-08
vrp_rule,134,143629.19999999937,43.62919999999937,0.22222626015764924,1.9425825935277283,2.456338097546605,-13950.000000000175,-12.779406375962077,1.738940398480906,0.6865671641791045,1.9730667665845911,325.59104477611936,3796.2,-3554.4000000000015,43629.2,0.03255910447761194,0,0,0.0,0,11,10.0,k1_10K_drop_worst,2024-07
logreg,89,101184.40000000023,1.1844000000002186,0.00654729309499591,0.07184132459198986,0.10331697875320833,-20219.099999999962,-18.199747064462525,0.035974637844173055,0.5280898876404494,1.0261731974436714,13.3078651685393,3796.2,-4928.000000000001,1184.3999999999976,0.00133078651685393,0,0,0.0,0,5,10.0,k1_10K_drop_worst,2025-03
lgbm,188,59833.60000000044,-40.166399999999555,-0.24773285557371738,-0.8442191782928388,-0.9010440499217826,-70531.79999999986,-70.53179999999986,-0.3512356916649198,0.5957446808510638,0.7173494189556825,-213.6510638297873,3796.2,-7833.000000000004,-40166.40000000001,-0.021365106382978727,0,0,0.0,0,1,10.0,k1_10K_drop_worst,2024-09
