symbol,date,status
CVX,2021-07-29,cached
CVX,2021-08-02,cached
GWW,2021-07-29,cached
GWW,2021-08-02,cached
IDXX,2021-07-29,cached
IDXX,2021-08-02,cached
JCI,2021-07-29,cached
JCI,2021-08-02,cached
LIN,2021-07-29,cached
LIN,2021-08-02,cached
LYB,2021-07-29,cached
LYB,2021-08-02,cached
WY,2021-07-29,cached
WY,2021-08-02,cached
XOM,2021-07-29,cached
XOM,2021-08-02,cached
ANET,2021-07-30,cached
ANET,2021-08-03,cached
AWK,2021-07-30,cached
AWK,2021-08-03,cached
FANG,2021-07-30,cached
FANG,2021-08-03,cached
GPN,2021-07-30,cached
GPN,2021-08-03,cached
L,2021-07-30,cached
L,2021-08-03,cached
MOS,2021-07-30,cached
MOS,2021-08-03,cached
NXPI,2021-07-30,cached
NXPI,2021-08-03,cached
O,2021-07-30,cached
O,2021-08-03,cached
ON,2021-07-30,cached
ON,2021-08-03,cached
SBAC,2021-07-30,cached
SBAC,2021-08-03,cached
SPG,2021-07-30,cached
SPG,2021-08-03,cached
TTWO,2021-07-30,cached
TTWO,2021-08-03,cached
WMB,2021-07-30,cached
WMB,2021-08-03,cached
XYZ,2021-07-30,cached
XYZ,2021-08-03,cached
AIZ,2021-08-02,cached
AIZ,2021-08-04,cached
AKAM,2021-08-02,cached
AKAM,2021-08-04,cached
AME,2021-08-02,cached
AME,2021-08-04,cached
AMGN,2021-08-02,cached
AMGN,2021-08-04,cached
BEN,2021-08-02,cached
BEN,2021-08-04,cached
CMI,2021-08-02,cached
CMI,2021-08-04,cached
COP,2021-08-02,cached
COP,2021-08-04,cached
DD,2021-08-02,cached
DD,2021-08-04,cached
DOC,2021-08-02,cached
DOC,2021-08-04,cached
DVA,2021-08-02,cached
DVA,2021-08-04,cached
DVN,2021-08-02,cached
DVN,2021-08-04,cached
ETN,2021-08-02,cached
ETN,2021-08-04,cached
EXPD,2021-08-02,cached
EXPD,2021-08-04,cached
FIS,2021-08-02,cached
FIS,2021-08-04,cached
HSIC,2021-08-02,cached
HSIC,2021-08-04,cached
HST,2021-08-02,cached
HST,2021-08-04,cached
INCY,2021-08-02,cached
INCY,2021-08-04,cached
IT,2021-08-02,cached
IT,2021-08-04,cached
J,2021-08-02,cached
J,2021-08-04,cached
KKR,2021-08-02,cached
KKR,2021-08-04,cached
LDOS,2021-08-02,cached
LDOS,2021-08-04,cached
LHX,2021-08-02,cached
LHX,2021-08-04,cached
LLY,2021-08-02,cached
LLY,2021-08-04,cached
LYV,2021-08-02,cached
LYV,2021-08-04,cached
MAR,2021-08-02,cached
MAR,2021-08-04,cached
MCHP,2021-08-02,cached
MCHP,2021-08-04,cached
MTCH,2021-08-02,cached
MTCH,2021-08-04,cached
OKE,2021-08-02,cached
OKE,2021-08-04,cached
OXY,2021-08-02,cached
OXY,2021-08-04,cached
PEG,2021-08-02,cached
PEG,2021-08-04,cached
PRU,2021-08-02,cached
PRU,2021-08-04,cached
PSA,2021-08-02,cached
PSA,2021-08-04,cached
PSX,2021-08-02,cached
PSX,2021-08-04,cached
RL,2021-08-02,cached
RL,2021-08-04,cached
VRSK,2021-08-02,cached
VRSK,2021-08-04,cached
WAT,2021-08-02,cached
WAT,2021-08-04,cached
WEC,2021-08-02,cached
WEC,2021-08-04,cached
XYL,2021-08-02,cached
XYL,2021-08-04,cached
ZBH,2021-08-02,cached
ZBH,2021-08-04,cached
ZBRA,2021-08-02,cached
ZBRA,2021-08-04,cached
AES,2021-08-03,cached
AES,2021-08-05,cached
ALB,2021-08-03,cached
ALB,2021-08-05,cached
ALL,2021-08-03,cached
ALL,2021-08-05,cached
APA,2021-08-03,cached
APA,2021-08-05,cached
APO,2021-08-03,cached
APO,2021-08-05,cached
ATO,2021-08-03,cached
ATO,2021-08-05,cached
BKNG,2021-08-03,cached
BKNG,2021-08-05,cached
CDW,2021-08-03,cached
CDW,2021-08-05,cached
CRL,2021-08-03,cached
CRL,2021-08-05,cached
CVS,2021-08-03,cached
CVS,2021-08-05,cached
DAY,2021-08-03,cached
DAY,2021-08-05,cached
EA,2021-08-03,cached
EA,2021-08-05,cached
EMR,2021-08-03,cached
EMR,2021-08-05,cached
EOG,2021-08-03,cached
EOG,2021-08-05,cached
ETR,2021-08-03,cached
ETR,2021-08-05,cached
EXC,2021-08-03,cached
EXC,2021-08-05,cached
FRT,2021-08-03,cached
FRT,2021-08-05,cached
GDDY,2021-08-03,cached
GDDY,2021-08-05,cached
GM,2021-08-03,cached
GM,2021-08-05,cached
HWM,2021-08-03,cached
HWM,2021-08-05,cached
KHC,2021-08-03,cached
KHC,2021-08-05,cached
MCK,2021-08-03,cached
MCK,2021-08-05,cached
MET,2021-08-03,cached
MET,2021-08-05,cached
MGM,2021-08-03,cached
MGM,2021-08-05,cached
MPC,2021-08-03,cached
MPC,2021-08-05,cached
NI,2021-08-03,cached
NI,2021-08-05,cached
RCL,2021-08-03,cached
RCL,2021-08-05,cached
TRMB,2021-08-03,cached
TRMB,2021-08-05,cached
TT,2021-08-03,cached
TT,2021-08-05,cached
UBER,2021-08-03,cached
UBER,2021-08-05,cached
VMC,2021-08-03,cached
VMC,2021-08-05,cached
WYNN,2021-08-03,cached
WYNN,2021-08-05,cached
AEE,2021-08-04,cached
AEE,2021-08-06,cached
AIG,2021-08-04,cached
AIG,2021-08-06,cached
APTV,2021-08-04,cached
APTV,2021-08-06,cached
AXON,2021-08-04,cached
AXON,2021-08-06,cached
BDX,2021-08-04,cached
BDX,2021-08-06,cached
BLDR,2021-08-04,cached
BLDR,2021-08-06,cached
CI,2021-08-04,cached
CI,2021-08-06,cached
CNP,2021-08-04,cached
CNP,2021-08-06,cached
CTVA,2021-08-04,cached
CTVA,2021-08-06,cached
DDOG,2021-08-04,cached
DDOG,2021-08-06,cached
DUK,2021-08-04,cached
DUK,2021-08-06,cached
ED,2021-08-04,cached
ED,2021-08-06,cached
EPAM,2021-08-04,cached
EPAM,2021-08-06,cached
EVRG,2021-08-04,cached
EVRG,2021-08-06,cached
EXPE,2021-08-04,cached
EXPE,2021-08-06,cached
HII,2021-08-04,cached
HII,2021-08-06,cached
IFF,2021-08-04,cached
IFF,2021-08-06,cached
IRM,2021-08-04,cached
IRM,2021-08-06,cached
K,2021-08-04,cached
K,2021-08-06,cached
LNT,2021-08-04,cached
LNT,2021-08-06,cached
MNST,2021-08-04,cached
MNST,2021-08-06,cached
MRNA,2021-08-04,cached
MRNA,2021-08-06,cached
MSI,2021-08-04,cached
MSI,2021-08-06,cached
NRG,2021-08-04,cached
NRG,2021-08-06,cached
PNW,2021-08-04,cached
PNW,2021-08-06,cached
PPL,2021-08-04,cached
PPL,2021-08-06,cached
PWR,2021-08-04,cached
PWR,2021-08-06,cached
REG,2021-08-04,cached
REG,2021-08-06,cached
REGN,2021-08-04,cached
REGN,2021-08-06,cached
SRE,2021-08-04,cached
SRE,2021-08-06,cached
TPL,2021-08-04,cached
TPL,2021-08-06,cached
TRGP,2021-08-04,cached
TRGP,2021-08-06,cached
VST,2021-08-04,cached
VST,2021-08-06,cached
ZTS,2021-08-04,cached
ZTS,2021-08-06,cached
D,2021-08-05,cached
D,2021-08-09,cached
NCLH,2021-08-05,cached
NCLH,2021-08-09,cached
VTR,2021-08-05,cached
VTR,2021-08-09,cached
APD,2021-08-06,cached
APD,2021-08-10,cached
CF,2021-08-06,cached
CF,2021-08-10,cached
STE,2021-08-06,cached
STE,2021-08-10,cached
TSN,2021-08-06,cached
TSN,2021-08-10,cached
TTD,2021-08-06,cached
TTD,2021-08-10,cached
VTRS,2021-08-06,cached
VTRS,2021-08-10,cached
COIN,2021-08-09,cached
COIN,2021-08-11,cached
TDG,2021-08-09,cached
TDG,2021-08-11,cached
APP,2021-08-10,cached
APP,2021-08-12,cached
EBAY,2021-08-10,cached
EBAY,2021-08-12,cached
ABNB,2021-08-11,cached
ABNB,2021-08-13,cached
DASH,2021-08-11,cached
DASH,2021-08-13,cached
DIS,2021-08-11,cached
DIS,2021-08-13,cached
PLTR,2021-08-11,cached
PLTR,2021-08-13,cached
A,2021-08-16,cached
A,2021-08-18,cached
HD,2021-08-16,cached
HD,2021-08-18,cached
WMT,2021-08-16,cached
WMT,2021-08-18,cached
ADI,2021-08-17,cached
ADI,2021-08-19,cached
KEYS,2021-08-17,cached
KEYS,2021-08-19,cached
LOW,2021-08-17,cached
LOW,2021-08-19,cached
NVDA,2021-08-17,cached
NVDA,2021-08-19,cached
SNPS,2021-08-17,cached
SNPS,2021-08-19,cached
TGT,2021-08-17,cached
TGT,2021-08-19,cached
TJX,2021-08-17,cached
TJX,2021-08-19,cached
AMAT,2021-08-18,cached
AMAT,2021-08-20,cached
ROST,2021-08-18,cached
ROST,2021-08-20,cached
DE,2021-08-19,cached
DE,2021-08-23,cached
BBY,2021-08-23,cached
BBY,2021-08-25,cached
MDT,2021-08-23,cached
MDT,2021-08-25,cached
ADSK,2021-08-24,cached
ADSK,2021-08-26,cached
CRM,2021-08-24,cached
CRM,2021-08-26,cached
NTAP,2021-08-24,cached
NTAP,2021-08-26,cached
ULTA,2021-08-24,cached
ULTA,2021-08-26,cached
WSM,2021-08-24,cached
WSM,2021-08-26,cached
DELL,2021-08-25,cached
DELL,2021-08-27,cached
DG,2021-08-25,cached
DG,2021-08-27,cached
DLTR,2021-08-25,cached
DLTR,2021-08-27,cached
HPQ,2021-08-25,cached
HPQ,2021-08-27,cached
SJM,2021-08-25,cached
SJM,2021-08-27,cached
WDAY,2021-08-25,cached
WDAY,2021-08-27,cached
NDSN,2021-08-27,cached
NDSN,2021-08-31,cached
CRWD,2021-08-30,cached
CRWD,2021-09-01,cached
AVGO,2021-09-01,cached
AVGO,2021-09-03,cached
COO,2021-09-01,cached
COO,2021-09-03,cached
HPE,2021-09-01,cached
HPE,2021-09-03,cached
HRL,2021-09-01,cached
HRL,2021-09-03,cached
LULU,2021-09-07,cached
LULU,2021-09-09,cached
KR,2021-09-09,cached
KR,2021-09-13,cached
ORCL,2021-09-10,cached
ORCL,2021-09-14,cached
LEN,2021-09-17,cached
LEN,2021-09-21,cached
ADBE,2021-09-20,cached
ADBE,2021-09-22,cached
FDX,2021-09-20,cached
FDX,2021-09-22,cached
GIS,2021-09-21,cached
GIS,2021-09-23,cached
DRI,2021-09-22,cached
DRI,2021-09-24,cached
NKE,2021-09-22,cached
NKE,2021-09-24,cached
CTAS,2021-09-28,cached
CTAS,2021-09-30,cached
CCL,2021-09-29,cached
CCL,2021-10-01,cached
MKC,2021-09-29,cached
MKC,2021-10-01,cached
PAYX,2021-09-29,cached
PAYX,2021-10-01,cached
PEP,2021-10-04,cached
PEP,2021-10-06,cached
STZ,2021-10-05,cached
STZ,2021-10-07,cached
LW,2021-10-06,cached
LW,2021-10-08,cached
FAST,2021-10-08,cached
FAST,2021-10-13,cached
BLK,2021-10-12,cached
BLK,2021-10-14,cached
DAL,2021-10-12,cached
DAL,2021-10-14,cached
JPM,2021-10-12,cached
JPM,2021-10-14,cached
BAC,2021-10-13,cached
BAC,2021-10-15,cached
C,2021-10-13,cached
C,2021-10-15,cached
DPZ,2021-10-13,cached
DPZ,2021-10-15,cached
MS,2021-10-13,cached
MS,2021-10-15,cached
PGR,2021-10-13,cached
PGR,2021-10-15,cached
UNH,2021-10-13,cached
UNH,2021-10-15,cached
USB,2021-10-13,cached
USB,2021-10-15,cached
WFC,2021-10-13,cached
WFC,2021-10-15,cached
GS,2021-10-14,cached
GS,2021-10-18,cached
JBHT,2021-10-14,cached
JBHT,2021-10-18,cached
PLD,2021-10-14,cached
PLD,2021-10-18,cached
SCHW,2021-10-14,cached
SCHW,2021-10-18,cached
TFC,2021-10-14,cached
TFC,2021-10-18,cached
STLD,2021-10-15,cached
STLD,2021-10-19,cached
STT,2021-10-15,cached
STT,2021-10-19,cached
BK,2021-10-18,cached
BK,2021-10-20,cached
DOV,2021-10-18,cached
DOV,2021-10-20,cached
FITB,2021-10-18,cached
FITB,2021-10-20,cached
HAL,2021-10-18,cached
HAL,2021-10-20,cached
IBKR,2021-10-18,cached
IBKR,2021-10-20,cached
ISRG,2021-10-18,cached
ISRG,2021-10-20,cached
JNJ,2021-10-18,cached
JNJ,2021-10-20,cached
NFLX,2021-10-18,cached
NFLX,2021-10-20,cached
OMC,2021-10-18,cached
OMC,2021-10-20,cached
PG,2021-10-18,cached
PG,2021-10-20,cached
PM,2021-10-18,cached
PM,2021-10-20,cached
SYF,2021-10-18,cached
SYF,2021-10-20,cached
TRV,2021-10-18,cached
TRV,2021-10-20,cached
UAL,2021-10-18,cached
UAL,2021-10-20,cached
ABT,2021-10-19,cached
ABT,2021-10-21,cached
BIIB,2021-10-19,cached
BIIB,2021-10-21,cached
BKR,2021-10-19,cached
BKR,2021-10-21,cached
CCI,2021-10-19,cached
CCI,2021-10-21,cached
CFG,2021-10-19,cached
CFG,2021-10-21,cached
CSX,2021-10-19,cached
CSX,2021-10-21,cached
EFX,2021-10-19,cached
EFX,2021-10-21,cached
ELV,2021-10-19,cached
ELV,2021-10-21,cached
GL,2021-10-19,cached
GL,2021-10-21,cached
IBM,2021-10-19,cached
IBM,2021-10-21,cached
KMI,2021-10-19,cached
KMI,2021-10-21,cached
LRCX,2021-10-19,cached
LRCX,2021-10-21,cached
LVS,2021-10-19,cached
LVS,2021-10-21,cached
MTB,2021-10-19,cached
MTB,2021-10-21,cached
NDAQ,2021-10-19,cached
NDAQ,2021-10-21,cached
NEE,2021-10-19,cached
NEE,2021-10-21,cached
NTRS,2021-10-19,cached
NTRS,2021-10-21,cached
PPG,2021-10-19,cached
PPG,2021-10-21,cached
TSLA,2021-10-19,cached
TSLA,2021-10-21,cached
VZ,2021-10-19,cached
VZ,2021-10-21,cached
ALLE,2021-10-20,cached
ALLE,2021-10-22,cached
